,Integrity of Ecological Processes,Water Quality & Supply,Economic Inputs,Soil Health,Primary Industries,Scientific Research,Property Valuation,Policy,Pest Management,Secondary Industry,Participation in Economic Life,Biodiversity,Population Dynamics,Labour Market
Integrity of Ecological Processes,,1,,1,,,,,,,,,,
Water Quality & Supply,1,,,,1,,1,,,,1,,,
Economic Inputs,,,,,1,,1,,,,1,,,
Soil Health,,1,,,1,,,,,,,,,
Primary Industries,,1,1,1,,1,1,,1,,1,1,,
Scientific Research,,,,,1,,,1,1,,1,,,
Property Valuation,,,,,1,,,1,,1,,,,
Policy,,1,,,,,,,1,,,,,
Pest Management,,,,,,,,,,,,1,,
Secondary Industry,,,,,,,,,,,,,1,1
Participation in Economic Life,,,,,,,,,,,,,,1
Biodiversity,1,,,,,,,,,,,,,
Population Dynamics,,,,,,,,,,,,,,1
Labour Market,,,,,1,,,,,,,,,
